scope,variable,count,number_of_msas,number_of_months,mean,standard_deviation,minimum,p1,p5,p10,p25,median,p75,p90,p95,p99,maximum,zero_count,missing_count
all_vintage:pareto_23_200712_223m_130n,employment thousands SA,28990,130,223,170.63872369782683,178.77145911502262,18.4,28.6,39.9,50.9,61.8,109.7,195.6,367.5100000000002,507.6549999999999,1108.1550000000002,1221.9,0,0
all_vintage:pareto_24_200802_221m_131n,ZHVI all-homes SA,28951,131,221,218254.03729470738,113052.41581628748,70773.62398823531,87739.70080241616,106147.5005377977,117132.01373510463,140918.4747482323,185970.9275134113,257907.2373702745,368611.8293933614,444616.5455021597,623762.7972351541,870668.4947126737,0,0
all_vintage:pareto_24_200802_221m_131n,permits units SA,28951,131,221,100690.19009743995,101002.09732018791,-90.125404575521,-0.1347684156801435,5.500110802010825,14.2354271140323,67.74210222765794,1357.59598216631,202111.0,202408.0,202507.0,202604.0,202606.0,0,0
all_vintage:pareto_24_200802_221m_131n,employment thousands SA,28951,131,221,169.98170702220995,178.34243739472333,18.6,28.7,40.0,50.9,61.8,109.1,194.4,366.6,506.5,1106.75,1221.9,0,0
all_vintage:pareto_25_200803_220m_133n,ZHVI all-homes SA,29260,133,220,218123.32677695426,112595.61696142782,70773.62398823531,87873.96706515359,106493.34921845669,117452.02955984694,141391.17378929254,185833.8587514757,257755.6056204926,366639.984306503,443251.81864001404,622703.8086331025,870668.4947126737,0,0
all_vintage:pareto_25_200803_220m_133n,permits units SA,29260,133,220,101146.72420840501,101003.59674147423,-90.125404575521,-0.1790704841044672,5.330897182945903,14.19808589779955,68.03179554371116,102500.97608268443,202111.25,202408.1,202507.05,202604.0,202606.0,0,0
all_vintage:pareto_25_200803_220m_133n,employment thousands SA,29260,133,220,169.20665071770333,177.2838334102451,18.8,28.8,40.295,51.1,61.8,109.1,192.9,364.5100000000002,501.9049999999999,1104.741,1221.9,0,0
all_vintage:pareto_26_200805_218m_134n,ZHVI all-homes SA,29212,134,218,217637.6403005562,112871.09443651093,49348.99715611694,83755.7658046168,105280.17698383718,116874.77039168005,140955.1836054873,185439.06727930642,257390.0914688042,366557.2517631976,443260.8781122591,622808.7277894473,870668.4947126737,0,0
all_vintage:pareto_26_200805_218m_134n,permits units SA,29212,134,218,101148.51008258585,101005.87767466821,-90.125404575521,-0.1541405186293593,5.48517305872031,14.345137853195553,67.24663036237709,102501.47608268443,202112.0,202409.0,202508.0,202604.0,202606.0,0,0
all_vintage:pareto_26_200805_218m_134n,employment thousands SA,29212,134,218,169.00923935369028,176.72055327771636,18.8,28.9,40.3,51.2,61.9,109.6,192.3,364.0,500.2,1104.3899999999994,1221.9,0,0
all_vintage:pareto_27_200806_217m_137n,ZHVI all-homes SA,29729,137,217,216699.69935734515,112532.35889946304,49348.99715611694,83215.8019996174,104312.40483701191,116330.60219058466,140281.64274947575,184590.8213952056,255873.59169695634,364720.5588813111,441518.73546220677,621547.2045935128,870668.4947126737,0,0
all_vintage:pareto_27_200806_217m_137n,permits units SA,29729,137,217,100683.943741907,101007.99899661833,-90.125404575521,-0.17959633806022388,5.073458113838315,13.570917327304523,65.0070353182098,1346.43029991873,202112.0,202409.0,202508.0,202604.0,202606.0,0,0
all_vintage:pareto_27_200806_217m_137n,employment thousands SA,29729,137,217,166.5727841501564,175.5917494227475,18.8,29.0,40.5,50.6,61.4,108.1,190.0,361.2,496.5599999999999,1095.7320000000009,1221.9,0,0
all_vintage:pareto_28_200807_216m_139n,ZHVI all-homes SA,30024,139,216,216893.11323181004,112257.84223313662,49348.99715611694,83443.46340480726,104706.30064453415,116567.67369565993,140334.20222823182,185181.61225780693,256233.936476555,365308.7842964651,440358.0577533763,620446.971946774,870668.4947126737,0,0
all_vintage:pareto_28_200807_216m_139n,permits units SA,30024,139,216,101148.76549225522,101009.7024927144,-90.125404575521,-0.1407346358604083,5.277784277358664,13.97588741823222,64.00338605871278,102501.97608268443,202134.25,202409.0,202508.0,202604.0,202606.0,0,0
all_vintage:pareto_28_200807_216m_139n,employment thousands SA,30024,139,216,164.8103617106315,174.98994842364877,18.8,29.0,39.2,49.10000000000001,60.9,106.7,188.7,359.7700000000001,484.0,1092.1320000000007,1221.9,0,0
all_vintage:pareto_29_200811_212m_140n,ZHVI all-homes SA,29680,140,212,217407.29991002247,112532.54580548851,49348.99715611694,83504.34682484351,104861.76878209795,116725.58563172346,140717.29414314457,185439.06727930642,257275.4780257357,366205.0922904019,441425.2749413557,621617.3726682129,870668.4947126737,0,0
all_vintage:pareto_29_200811_212m_140n,permits units SA,29680,140,212,101152.86489138404,101014.08839542001,-90.125404575521,-0.10925057097321828,5.39734933603933,13.836715699673551,63.63982479197419,102502.97608268443,202201.25,202409.0,202508.0,202604.0,202606.0,0,0
all_vintage:pareto_29_200811_212m_140n,employment thousands SA,29680,140,212,164.07804245283018,174.8131011689826,18.8,29.0,39.3,48.3,60.6,105.6,188.1,359.2,482.80499999999995,1091.2359999999985,1221.9,0,0
all_vintage:pareto_30_200812_211m_142n,ZHVI all-homes SA,29962,142,211,218116.09082182098,113036.01029195468,49348.99715611694,83704.75738167019,105108.68558664118,116980.6563692204,141005.89865349446,185741.48426872096,257795.41342507862,367920.1134782009,444730.27453637257,620679.2812468312,870668.4947126737,0,0
all_vintage:pareto_30_200812_211m_142n,permits units SA,29962,142,211,100677.77327330194,101013.63566190169,-90.125404575521,-0.08958891926144341,5.501683365431516,14.008141683004585,64.871051588191,1320.7948079973198,202202.0,202409.0,202508.0,202604.0,202606.0,0,0
all_vintage:pareto_30_200812_211m_142n,employment thousands SA,29962,142,211,165.01049662906348,174.86795100494814,18.8,29.161,39.4,48.3,60.7,105.6,189.3,363.59000000000015,476.68999999999943,1088.578,1221.9,0,0
all_vintage:pareto_31_200901_210m_160n,ZHVI all-homes SA,33600,160,210,214686.19504467485,109513.09334949397,49348.99715611694,82907.54329100317,103639.55167272073,116100.43233944244,140393.76429458003,183708.50839543584,254263.8103760733,355975.33244827914,433045.4831998001,608989.9832397015,870668.4947126737,0,0
