date,median,n_available,p10,p25,p75,p90,variable
2018-03-01,175308.6465176794,196,115205.95428183145,142928.1934727547,224477.93960936673,301266.3083488706,ZHVI all-homes SA
2018-04-01,175468.05063860695,196,115814.33877723305,143669.55245549325,225131.9041655149,303683.10039196024,ZHVI all-homes SA
2018-05-01,175777.4680083664,196,116231.60490254933,144262.26001420643,225446.2147286777,304288.3742836459,ZHVI all-homes SA
2018-06-01,176223.4785843726,196,116268.65895820118,144818.92489471938,225706.4617458004,305452.80912539625,ZHVI all-homes SA
2018-07-01,177162.55521500012,196,116332.99828993127,144974.07741551474,226661.5927525592,307249.15805335913,ZHVI all-homes SA
2018-08-01,177682.26253662247,196,116249.92131510217,144994.2562477958,227523.28690965206,309217.21341418347,ZHVI all-homes SA
2018-09-01,178792.61535176352,196,116330.90873828826,145487.777244744,228663.12368381795,310590.16158869816,ZHVI all-homes SA
2018-10-01,180146.79058222473,196,116099.48095508976,146139.99816924497,229677.95153285205,311187.98777654616,ZHVI all-homes SA
2018-11-01,181270.25475270054,196,116028.5835207983,146791.2679949064,230395.6680949166,311492.71426238754,ZHVI all-homes SA
2018-12-01,182553.29165165633,196,116086.59594069158,147775.3972114941,231127.49899209532,312220.7498343376,ZHVI all-homes SA
2019-01-01,183079.9530770888,196,116688.61337543814,148685.7865057441,232075.31338063854,314225.2544033128,ZHVI all-homes SA
2019-02-01,182211.95931029812,195,117740.1567415618,149446.91197402086,232991.3173258002,317757.80853542703,ZHVI all-homes SA
2019-03-01,183707.34197760458,195,119455.78119950945,150591.18463473977,234099.11838870522,320203.64129307005,ZHVI all-homes SA
2019-04-01,186086.42242200326,196,121212.4441315094,151867.1446673724,235901.04495392056,322473.29587688355,ZHVI all-homes SA
2019-05-01,187159.99391878163,196,122072.36900875113,152798.6632168693,236848.69945928987,324590.44414205966,ZHVI all-homes SA
2019-06-01,187757.6086038933,196,122526.62955908239,153840.99201712693,237970.81958376314,325882.4605272192,ZHVI all-homes SA
2019-07-01,187404.7007008599,196,122886.04733176265,154190.44579079276,239270.39965949068,326967.9410417826,ZHVI all-homes SA
2019-08-01,187840.6382430556,196,123375.60179356005,154482.83152398738,240264.00419458424,328244.66126836615,ZHVI all-homes SA
2019-09-01,188432.0795707222,196,123743.83391983289,154708.98051500428,241144.50141936878,329669.80469154613,ZHVI all-homes SA
2019-10-01,189421.30449611176,196,124232.18924198418,155125.8530077044,242619.63247101058,330679.5153304225,ZHVI all-homes SA
