rep,feasible_true,oracle_true,truth_diff,feasible_estimate,oracle_estimate,diff_estimate,feasible_se,oracle_se,diff_se,feasible_z,oracle_z,diff_z,feasible_reject,oracle_reject,diff_reject
191,0.3748891743090974,0.3748891743090974,0.0,0.4071817595719571,0.4194453866929773,0.012263627121020193,0.04278100969800609,0.04537586935774654,0.0025948596597404477,0.7548345747520959,0.9819362805502547,0.2271017057981588,0,0,0
192,0.42825732643776215,0.42825732643776215,0.0,0.4173777575664228,0.419150153136002,0.0017723955695791993,0.045916296637131475,0.04604251412156411,0.00012621748443263775,-0.23694351827453955,-0.19779921829887165,0.0391442999756679,0,0,0
193,0.5209035191343109,0.5209035191343109,0.0,0.404635333376727,0.40083036871549405,-0.003804964661232979,0.05033639358885628,0.04987324431562699,-0.00046314927322929633,-2.3098235186901404,-2.4075664630703364,-0.09774294438019604,1,1,0
194,0.3937857385295571,0.3937857385295571,0.0,0.3712853769680765,0.365124374427293,-0.0061610025407835,0.05191974252177016,0.052291552507954656,0.0003718099861844959,-0.43336812681700254,-0.548106964273132,-0.11473883745612945,0,0,0
195,0.4854822480381109,0.4854822480381109,0.0,0.445551740585486,0.4489167834762317,0.003365042890745684,0.047881434973187816,0.04832467472392521,0.0004432397507373939,-0.8339455046613533,-0.7566624042639628,0.0772831003973905,0,0,0
196,0.49204718258850966,0.49204718258850966,0.0,0.4705249476231434,0.4728024998855902,0.0022775522624468025,0.044027949592831475,0.04373625453101002,-0.00029169506182145227,-0.48883118937863185,-0.44001670717538305,0.0488144822032488,0,0,0
197,0.49032422054772296,0.49032422054772296,0.0,0.4814426896815169,0.48697439431576395,0.00553170463424707,0.0525909193031089,0.055213829105673545,0.0026229098025646463,-0.1688795515251822,-0.06067005832085631,0.10820949320432588,0,0,0
198,0.393698864345055,0.393698864345055,0.0,0.4494112836089951,0.44904238046895717,-0.0003689031400379572,0.048757978748252453,0.05029450503069621,0.0015365262824437592,1.1426318459917066,1.1003889210187947,-0.04224292497291193,0,0,0
199,0.528506765473278,0.528506765473278,0.0,0.4067411898245151,0.4031029059931071,-0.003638283831408018,0.04265877412770733,0.04250792688908348,-0.00015084723862384547,-2.854408691732069,-2.9501288032086093,-0.09572011147654047,1,1,0
200,0.42739789066500256,0.42739789066500256,0.0,0.46851139446058987,0.4696959893339141,0.0011845948733242295,0.046451881982644806,0.04899323680560759,0.002541354822962784,0.885077246406249,0.8633456661934664,-0.021731580212782542,0,0,0
201,0.34971066535139905,0.34971066535139905,0.0,0.3640836384553875,0.37299981842228774,0.00891617996690025,0.05949477640205784,0.059490752680463305,-4.0237215945329585e-06,0.24158378219388182,0.39147517927667475,0.14989139708279292,0,0,0
202,0.531048133052452,0.531048133052452,0.0,0.47924624602760446,0.47263497332995463,-0.006611272697649828,0.056531154808200895,0.056468625792983555,-6.252901521733994e-05,-0.9163422753453594,-1.0344356516952011,-0.11809337634984174,0,0,0
203,0.45714198196984945,0.45714198196984945,0.0,0.5113817727179815,0.5023756188526589,-0.009006153865322553,0.07023614752916041,0.07182757279420622,0.0015914252650458122,0.7722489438307093,0.6297531034830973,-0.14249584034761198,0,0,0
204,0.27621810426471777,0.27621810426471777,0.0,0.2798463239299881,0.2743791763694392,-0.005467147560548891,0.06429443661888809,0.06658920674872063,0.002294770129832535,0.05643131592826567,-0.02761600543189974,-0.0840473213601654,0,0,0
205,0.3736655077296721,0.3736655077296721,0.0,0.39594958651476037,0.3992093170359728,0.003259730521212423,0.0643697375713535,0.06622535855509655,0.0018556209837430476,0.3461887468530764,0.38571039649486183,0.03952164964178545,0,0,0
206,0.5515523406488277,0.5515523406488277,0.0,0.5751838084772755,0.5768902646488963,0.001706456171620796,0.03432059647966814,0.03357789812055349,-0.0007426983591146477,0.6885506154430396,0.7546012531546404,0.0660506377116008,0,0,0
207,0.4620706564196443,0.4620706564196443,0.0,0.5621509865712303,0.5651757412466641,0.0030247546754338384,0.04924088297870067,0.04746931037092237,-0.001771572607778299,2.0324641659020646,2.17203671216967,0.13957254626760562,1,1,0
208,0.3941729521518782,0.3941729521518782,0.0,0.5714298032504804,0.5675505249381825,-0.0038792783122979513,0.05594070810073288,0.05635148312708973,0.00041077502635684937,3.1686558343061084,3.076717118434756,-0.09193871587135227,1,1,0
209,0.28464763210153626,0.28464763210153626,0.0,0.26223225655037324,0.24745392525339674,-0.014778331296976505,0.05576075040253023,0.060219065503200046,0.004458315100669817,-0.4019919995579164,-0.617640053649837,-0.21564805409192056,0,0,0
210,0.4243765378807344,0.4243765378807344,0.0,0.47041918440771235,0.46248216303201817,-0.007937021375694187,0.04771164106520761,0.048552429928534854,0.0008407888633272451,0.9650191336753936,0.7848345635300255,-0.18018457014536815,0,0,0
211,0.4232229521662375,0.4232229521662375,0.0,0.47185906932636734,0.447651164015571,-0.024207905310796363,0.060327898855853844,0.06251845204603027,0.002190553190176421,0.8061961063212213,0.39073603152150643,-0.41546007479971486,0,0,0
212,0.3668997500688431,0.3668997500688431,0.0,0.36316990668525856,0.3585670494258902,-0.004602857259368376,0.05586670826281898,0.056656988486593785,0.0007902802237748016,-0.06676325667941473,-0.14707277717248649,-0.08030952049307176,0,0,0
213,0.5630158629251167,0.5630158629251167,0.0,0.5697702338569959,0.5687424328595485,-0.00102780099744737,0.039842227209289385,0.03935081297066298,-0.0004914142386264059,0.16952794572448823,0.1455260896058506,-0.024001856118637643,0,0,0
214,0.33714081445392374,0.33714081445392374,0.0,0.3654943060496453,0.3683433152544199,0.0028490092047745996,0.07404279341106364,0.07283064337040683,-0.0012121500406568064,0.3829338452739263,0.4284254450671872,0.045491599793260895,0,0,0
215,0.4149332307627688,0.4149332307627688,0.0,0.5299000601720177,0.5368012461819845,0.006901186009966809,0.060042347187521036,0.06197255775422518,0.0019302105667041436,1.9147624101068323,1.9664835507117184,0.051721140604886084,0,1,1
216,0.4057130129055744,0.4057130129055744,0.0,0.38105350537818783,0.3806954991909207,-0.00035800618726711253,0.04172705327990494,0.04325341370087375,0.0015263604209688128,-0.5909716979526604,-0.578393971113274,0.012577726839386405,0,0,0
217,0.3948235962466594,0.3948235962466594,0.0,0.29032078407034567,0.29428131676919156,0.003960532698845887,0.05712494451562174,0.057049121550228246,-7.582296539349054e-05,-1.8293726683224307,-1.7623808525946636,0.06699181572776713,0,0,0
218,0.4341552835603738,0.4341552835603738,0.0,0.3724820935117498,0.3784524826297647,0.005970389118014896,0.04653544647836206,0.046687692449155965,0.00015224597079390584,-1.3252949034732187,-1.193093897096559,0.13220100637665966,0,0,0
