cbsa_code,zhvi_earliest,zhvi_latest,zhvi_internal_missing_months,zhvi_longest_contiguous,permits_nsa_earliest,permits_nsa_latest,permits_nsa_internal_missing_months,permits_nsa_longest_contiguous,permits_sa_earliest,permits_sa_latest,permits_sa_internal_missing_months,permits_sa_longest_contiguous,employment_official_sa_earliest,employment_official_sa_latest,employment_official_sa_internal_missing_months,employment_official_sa_longest_contiguous,employment_local_x13_sa_earliest,employment_local_x13_sa_latest,employment_local_x13_sa_internal_missing_months,employment_local_x13_sa_longest_contiguous
25260,,,0,0,2004-01,2026-06,84,132,2004-01,2014-12,0,132,,,0,0,,,0,0
25420,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
25500,2009-09,2026-06,0,202,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
25540,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
25620,2012-01,2026-06,0,174,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
25740,2009-02,2026-06,0,209,2024-01,2026-06,0,30,,,0,0,,,0,0,,,0,0
25860,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
25940,,,0,0,2014-01,2026-06,0,150,2014-01,2026-06,0,150,,,0,0,,,0,0
25980,2000-01,2026-06,4,239,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
26100,,,0,0,2004-01,2013-12,0,120,2004-01,2013-12,0,120,,,0,0,,,0,0
26140,2000-01,2026-06,0,318,2014-01,2026-06,0,150,2014-01,2026-06,0,150,,,0,0,,,0,0
26180,,,0,0,2004-01,2013-12,0,120,2004-01,2013-12,0,120,,,0,0,,,0,0
26300,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
26380,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
26420,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
26580,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
26620,2000-08,2026-06,5,252,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
26820,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
26900,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
26980,2009-01,2026-06,0,210,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
27060,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
27100,2003-01,2026-06,1,217,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
