zillow_region_id,zillow_region_name,state_name,region_type,normalized_title,cbsa_code,official_title,classification,classification_reason,deterministic_rule
394473,"Cleveland, MS",MS,msa,cleveland ms,17380,"Cleveland, MS",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394475,"Cleveland, OH",OH,msa,cleveland oh,17410,"Cleveland, OH",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394474,"Cleveland, TN",TN,msa,cleveland tn,17420,"Cleveland, TN",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394476,"Clewiston, FL",FL,msa,clewiston fl,17500,"Clewiston, FL",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394477,"Clinton, IA",IA,msa,clinton ia,17540,"Clinton, IA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394478,"Clovis, NM",NM,msa,clovis nm,17580,"Clovis, NM",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394480,"Coeur d'Alene, ID",ID,msa,coeur d alene id,17660,"Coeur d'Alene, ID",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394481,"Coffeyville, KS",KS,msa,coffeyville ks,,,unresolved,no deterministic exact-code or exact-title match,
394482,"Coldwater, MI",MI,msa,coldwater mi,17740,"Coldwater, MI",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394483,"College Station, TX",TX,msa,college station tx,,,unresolved,no deterministic exact-code or exact-title match,
394484,"Colorado Springs, CO",CO,msa,colorado springs co,17820,"Colorado Springs, CO",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394485,"Columbia, MO",MO,msa,columbia mo,17860,"Columbia, MO",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394486,"Columbia, SC",SC,msa,columbia sc,17900,"Columbia, SC",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394488,"Columbus, GA",GA,msa,columbus ga,,,unresolved,no deterministic exact-code or exact-title match,
394489,"Columbus, IN",IN,msa,columbus in,18020,"Columbus, IN",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394490,"Columbus, MS",MS,msa,columbus ms,18060,"Columbus, MS",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394491,"Columbus, NE",NE,msa,columbus ne,18100,"Columbus, NE",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394492,"Columbus, OH",OH,msa,columbus oh,18140,"Columbus, OH",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394493,"Concord, NH",NH,msa,concord nh,18180,"Concord, NH",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394494,"Connersville, IN",IN,msa,connersville in,18220,"Connersville, IN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394495,"Cookeville, TN",TN,msa,cookeville tn,18260,"Cookeville, TN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394496,"Coos Bay, OR",OR,msa,coos bay or,,,unresolved,no deterministic exact-code or exact-title match,
394498,"Cordele, GA",GA,msa,cordele ga,18380,"Cordele, GA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394499,"Corinth, MS",MS,msa,corinth ms,18420,"Corinth, MS",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394500,"Cornelia, GA",GA,msa,cornelia ga,18460,"Cornelia, GA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394501,"Corning, NY",NY,msa,corning ny,18500,"Corning, NY",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394502,"Corpus Christi, TX",TX,msa,corpus christi tx,18580,"Corpus Christi, TX",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394503,"Corsicana, TX",TX,msa,corsicana tx,18620,"Corsicana, TX",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394504,"Cortland, NY",NY,msa,cortland ny,18660,"Cortland, NY",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394505,"Corvallis, OR",OR,msa,corvallis or,18700,"Corvallis, OR",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394506,"Coshocton, OH",OH,msa,coshocton oh,18740,"Coshocton, OH",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
753874,"Craig, CO",CO,msa,craig co,,,unresolved,no deterministic exact-code or exact-title match,
394507,"Crawfordsville, IN",IN,msa,crawfordsville in,18820,"Crawfordsville, IN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
