cbsa_code,cbsa_name,metro_micro_type,county_fips,county_name,state_name
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,21081,Grant County,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,21117,Kenton County,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,21191,Pendleton County,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,39015,Brown County,Ohio
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,39017,Butler County,Ohio
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,39025,Clermont County,Ohio
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,39061,Hamilton County,Ohio
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,39165,Warren County,Ohio
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,21047,Christian County,Kentucky
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,21221,Trigg County,Kentucky
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,47125,Montgomery County,Tennessee
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,47161,Stewart County,Tennessee
17410,"Cleveland, OH",Metropolitan Statistical Area,39007,Ashtabula County,Ohio
17410,"Cleveland, OH",Metropolitan Statistical Area,39035,Cuyahoga County,Ohio
17410,"Cleveland, OH",Metropolitan Statistical Area,39055,Geauga County,Ohio
17410,"Cleveland, OH",Metropolitan Statistical Area,39085,Lake County,Ohio
17410,"Cleveland, OH",Metropolitan Statistical Area,39093,Lorain County,Ohio
17410,"Cleveland, OH",Metropolitan Statistical Area,39103,Medina County,Ohio
17420,"Cleveland, TN",Metropolitan Statistical Area,47011,Bradley County,Tennessee
17420,"Cleveland, TN",Metropolitan Statistical Area,47139,Polk County,Tennessee
17660,"Coeur d'Alene, ID",Metropolitan Statistical Area,16055,Kootenai County,Idaho
17780,"College Station-Bryan, TX",Metropolitan Statistical Area,48041,Brazos County,Texas
17780,"College Station-Bryan, TX",Metropolitan Statistical Area,48051,Burleson County,Texas
17780,"College Station-Bryan, TX",Metropolitan Statistical Area,48395,Robertson County,Texas
17820,"Colorado Springs, CO",Metropolitan Statistical Area,08041,El Paso County,Colorado
17820,"Colorado Springs, CO",Metropolitan Statistical Area,08119,Teller County,Colorado
17860,"Columbia, MO",Metropolitan Statistical Area,29019,Boone County,Missouri
17860,"Columbia, MO",Metropolitan Statistical Area,29053,Cooper County,Missouri
17860,"Columbia, MO",Metropolitan Statistical Area,29089,Howard County,Missouri
17900,"Columbia, SC",Metropolitan Statistical Area,45017,Calhoun County,South Carolina
17900,"Columbia, SC",Metropolitan Statistical Area,45039,Fairfield County,South Carolina
17900,"Columbia, SC",Metropolitan Statistical Area,45055,Kershaw County,South Carolina
17900,"Columbia, SC",Metropolitan Statistical Area,45063,Lexington County,South Carolina
17900,"Columbia, SC",Metropolitan Statistical Area,45079,Richland County,South Carolina
17900,"Columbia, SC",Metropolitan Statistical Area,45081,Saluda County,South Carolina
17980,"Columbus, GA-AL",Metropolitan Statistical Area,01113,Russell County,Alabama
17980,"Columbus, GA-AL",Metropolitan Statistical Area,13053,Chattahoochee County,Georgia
17980,"Columbus, GA-AL",Metropolitan Statistical Area,13145,Harris County,Georgia
17980,"Columbus, GA-AL",Metropolitan Statistical Area,13197,Marion County,Georgia
17980,"Columbus, GA-AL",Metropolitan Statistical Area,13215,Muscogee County,Georgia
17980,"Columbus, GA-AL",Metropolitan Statistical Area,13259,Stewart County,Georgia
17980,"Columbus, GA-AL",Metropolitan Statistical Area,13263,Talbot County,Georgia
18020,"Columbus, IN",Metropolitan Statistical Area,18005,Bartholomew County,Indiana
18140,"Columbus, OH",Metropolitan Statistical Area,39041,Delaware County,Ohio
18140,"Columbus, OH",Metropolitan Statistical Area,39045,Fairfield County,Ohio
18140,"Columbus, OH",Metropolitan Statistical Area,39049,Franklin County,Ohio
18140,"Columbus, OH",Metropolitan Statistical Area,39073,Hocking County,Ohio
18140,"Columbus, OH",Metropolitan Statistical Area,39089,Licking County,Ohio
18140,"Columbus, OH",Metropolitan Statistical Area,39097,Madison County,Ohio
18140,"Columbus, OH",Metropolitan Statistical Area,39117,Morrow County,Ohio
