cbsa,lat,lon
44540,40.728091,-103.090464
46540,43.33228,-75.173189
48540,39.977687,-80.854826
15580,45.896232,-112.660071
14580,45.518054,-111.163921
17580,34.221551,-103.431242
19580,41.321679,-84.486433
20580,28.729787,-100.316678
22580,35.402747,-81.919582
25580,40.404569,-98.349062
30580,37.18096,-100.855257
33580,43.826091,-98.021652
31580,37.31107,-87.542196
36580,42.629776,-75.028841
37580,33.646445,-95.295089
42580,38.673227,-75.337024
11620,34.251848,-97.287927
12620,45.409284,-68.666616
14620,41.81459,-78.572463
15620,44.328738,-85.326429
19620,29.875285,-101.143324
32620,31.147972,-90.250227
31620,33.223038,-93.232843
38620,36.814885,-97.143862
40620,37.866326,-91.790349
43620,43.525658,-96.875416
45620,30.86301,-84.058195
46620,29.350308,-99.768427
47620,41.834298,-79.298182
21640,31.867281,-85.335032
17650,44.492387,-109.593597
10660,43.674202,-93.350289
11660,34.053316,-93.176208
14660,46.767291,-94.223862
16660,39.51368,-88.220782
21660,43.928334,-122.897581
22660,40.658093,-105.486764
23660,40.930945,-90.213792
28660,31.20273,-97.789638
29660,41.665514,-105.721883
34660,36.620978,-88.274086
32660,35.67825,-85.777343
44660,36.079225,-96.975255
41660,31.36531,-100.659418
43660,32.744353,-100.913346
46660,30.827158,-83.243555
48660,33.776144,-98.501907
23680,38.817046,-82.301746
13700,32.30343,-101.438721
14700,36.649827,-93.042819
16700,33.01754,-80.009947
19700,32.184523,-107.747191
21700,40.706655,-123.926176
22700,42.433579,-94.175831
23700,35.584062,-108.253294
26700,44.418265,-98.279422
25700,38.914597,-99.317313
29700,27.760799,-99.340752
32700,38.395812,-97.647489
40700,43.286328,-123.154476
43700,37.107428,-84.576969
42700,27.34108,-81.342353
45700,31.592714,-83.572994
14720,39.47505,-106.202071
13740,45.63714,-108.832361
17740,41.918455,-85.066885
21740,41.412124,-110.760958
24740,33.273174,-90.944446
26740,37.948185,-98.078346
25740,46.715671,-112.1352
31740,39.268424,-96.562242
35740,42.04313,-97.487952
38740,36.71518,-90.40313
40740,33.361604,-104.469837
44740,42.741522,-95.141432
42740,38.727367,-93.285207
41740,33.023604,-116.776117
45740,34.553582,-83.290588
49740,32.773942,-113.910905
40760,33.740841,-105.449805
41760,48.324634,-116.62745
43760,38.021434,-119.964733
10780,31.325348,-92.546803
13780,42.163928,-76.022943
17780,30.754392,-96.488537
15780,33.567513,-92.708217
22780,37.824835,-92.207022
23780,38.049808,-100.739967
40780,35.199586,-93.252763
45780,41.544357,-83.690777
47780,38.69609,-87.076943
48780,48.355765,-103.501333
19810,46.937629,-95.741757
11820,46.024509,-123.705037
10820,45.936835,-95.462155
15820,37.315476,-85.442981
16820,37.949084,-78.593206
17820,38.845507,-104.638728
20820,39.155051,-88.437879
21820,64.670454,-146.496061
22820,40.263159,-103.81221
25820,34.940766,-102.607564
28820,35.240066,-77.635514
31820,44.156137,-87.577352
35820,41.141344,-100.697352
38820,48.110903,-123.88986
45820,39.041389,-95.802639
46820,42.91615,-96.980468
48820,45.152714,-95.004981
49820,26.996981,-99.182603
25840,45.544602,-119.076191
13860,36.56216,-117.404209
19860,47.119444,-102.807928
21860,43.677173,-94.547096
28860,40.284489,-92.565124
