Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202406,220,11460,2,Ann Arbor  MI ,74,74,21871,0,0,0,0,0,0,2,27,27961,58,58,15305,0,0,0,0,0,0,0,0,0
202406,220,19820,2,Detroit-Warren-Dearborn  MI ,427,427,158842,24,48,5138,3,11,2632,7,46,9756,330,330,128089,24,48,5138,3,11,2632,5,30,6819
202406,220,22420,2,Flint  MI ,29,29,9508,0,0,0,0,0,0,0,0,0,19,19,6956,0,0,0,0,0,0,0,0,0
202406,220,33780,2,Monroe  MI ,16,16,5782,0,0,0,0,0,0,1,5,359,10,10,4178,0,0,0,0,0,0,0,0,0
202406,221,19940,5,Dixon  IL ,9,9,3161,0,0,0,0,0,0,0,0,0,9,9,3161,0,0,0,0,0,0,0,0,0
202406,221,44580,5,Sterling  IL ,1,1,750,0,0,0,0,0,0,0,0,0,1,1,750,0,0,0,0,0,0,0,0,0
202406,222,20020,2,Dothan  AL ,36,36,10020,0,0,0,0,0,0,0,0,0,25,25,7494,0,0,0,0,0,0,0,0,0
202406,222,21460,5,Enterprise  AL ,11,11,2340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,222,37120,5,Ozark  AL ,3,3,495,0,0,0,0,0,0,0,0,0,2,2,290,0,0,0,0,0,0,0,0,0
202406,228,20260,2,Duluth  MN-WI ,58,58,17772,1,2,294,0,0,0,0,0,0,50,50,15385,0,0,0,0,0,0,0,0,0
202406,228,24330,5,Grand Rapids  MN ,9,9,3051,0,0,0,0,0,0,0,0,0,7,7,2474,0,0,0,0,0,0,0,0,0
202406,232,20740,2,Eau Claire  WI ,37,37,14119,3,6,2065,0,0,0,0,0,0,34,34,13089,3,6,2065,0,0,0,0,0,0
202406,232,32860,5,Menomonie  WI ,11,11,2875,0,0,0,0,0,0,0,0,0,10,10,2571,0,0,0,0,0,0,0,0,0
202406,233,20780,5,Edwards  CO ,9,9,14934,0,0,0,0,0,0,0,0,0,9,9,14934,0,0,0,0,0,0,0,0,0
202406,233,40090,5,Rifle  CO ,14,14,53142,0,0,0,0,0,0,1,56,13980,7,7,40314,0,0,0,0,0,0,1,56,13980
202406,236,18500,5,Corning  NY ,18,18,3232,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,236,21300,2,Elmira  NY ,5,5,1051,0,0,0,0,0,0,1,5,560,0,0,0,0,0,0,0,0,0,0,0,0
202406,238,21340,2,El Paso  TX ,164,164,38790,2,4,518,1,3,395,2,12,1414,11,11,3163,0,0,0,0,0,0,0,0,0
202406,238,29740,2,Las Cruces  NM ,70,70,19393,1,2,146,1,4,650,0,0,0,53,53,14133,1,2,146,1,4,650,0,0,0
202406,240,21500,2,Erie  PA ,13,13,4568,0,0,0,0,0,0,0,0,0,5,5,2150,0,0,0,0,0,0,0,0,0
202406,240,32740,5,Meadville  PA ,9,9,2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,241,21780,2,Evansville  IN ,64,64,23701,3,6,1046,0,0,0,0,0,0,23,23,10659,0,0,0,0,0,0,0,0,0
202406,241,25775,5,Henderson  KY ,7,7,2464,1,2,299,0,0,0,0,0,0,6,6,2178,1,2,299,0,0,0,0,0,0
