Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9902,3870,9999,,La Crosse  WI-MN MSA ,12,12,1535,0,0,0,1,4,150,0,0,0,12,12,1535,0,0,0,1,4,150,0,0,0
9902,3880,9999,,Lafayette  LA MSA ,88,88,9806,0,0,0,0,0,0,0,0,0,73,73,8889,0,0,0,0,0,0,0,0,0
9902,3920,9999,,Lafayette  IN MSA ,57,57,6942,0,0,0,1,3,92,1,9,296,57,57,6942,0,0,0,1,3,92,1,9,296
9902,3960,9999,,Lake Charles  LA MSA ,67,67,6214,1,2,47,0,0,0,16,229,10736,62,62,5715,0,0,0,0,0,0,15,224,10571
9902,3980,9999,,Lakeland-Winter Haven  FL MSA ,221,221,23609,0,0,0,0,0,0,0,0,0,221,221,23609,0,0,0,0,0,0,0,0,0
9902,4000,9999,,Lancaster  PA MSA ,95,95,12935,0,0,0,0,0,0,2,18,812,89,89,12317,0,0,0,0,0,0,2,18,812
9902,4040,9999,,Lansing-East Lansing  MI MSA ,73,73,9101,0,0,0,0,0,0,9,88,4159,72,72,8981,0,0,0,0,0,0,9,88,4159
9902,4080,9999,,Laredo  TX MSA ,113,113,5828,1,2,31,1,3,69,1,16,627,0,0,0,0,0,0,0,0,0,0,0,0
9902,4100,9999,,Las Cruces  NM MSA ,54,54,5429,0,0,0,0,0,0,0,0,0,26,26,2643,0,0,0,0,0,0,0,0,0
9902,4120,9999,,Las Vegas  NV-AZ MSA ,2244,2244,235215,0,0,0,32,128,8316,45,348,20681,2088,2088,222098,0,0,0,32,128,8316,44,343,20402
9902,4150,9999,,Lawrence  KS MSA ,32,32,4130,4,8,617,0,0,0,0,0,0,31,31,4059,4,8,617,0,0,0,0,0,0
9902,4200,9999,,Lawton  OK MSA ,9,9,1028,1,2,40,0,0,0,1,5,100,9,9,1028,1,2,40,0,0,0,0,0,0
9902,4240,9999,,Lewiston-Auburn  ME MSA ,6,6,587,0,0,0,0,0,0,0,0,0,3,3,336,0,0,0,0,0,0,0,0,0
9902,4280,9999,,Lexington  KY MSA ,285,285,24396,16,32,1499,5,20,695,4,39,1324,247,247,20985,15,30,1390,5,20,695,4,39,1324
9902,4320,9999,,Lima  OH MSA ,9,9,1132,0,0,0,0,0,0,0,0,0,9,9,1132,0,0,0,0,0,0,0,0,0
9902,4360,9999,,Lincoln  NE MSA ,80,80,9572,2,4,179,1,4,161,4,49,1609,4,4,454,0,0,0,0,0,0,0,0,0
9902,4400,9999,,Little Rock-North Little Rock  AR MSA ,189,189,25033,0,0,0,0,0,0,2,20,744,185,185,24682,0,0,0,0,0,0,2,20,744
9902,4420,9999,,Longview-Marshall  TX MSA ,16,16,1824,0,0,0,0,0,0,0,0,0,16,16,1824,0,0,0,0,0,0,0,0,0
