Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200304,3850,9999,,Kokomo  IN MSA ,38,38,5233,1,2,256,0,0,0,1,5,299,0,0,0,0,0,0,0,0,0,0,0,0
200304,3870,9999,,La Crosse  WI-MN MSA ,35,35,5548,2,4,290,1,3,225,0,0,0,15,15,2628,2,4,290,1,3,225,0,0,0
200304,3880,9999,,Lafayette  LA MSA ,174,174,18197,0,0,0,0,0,0,0,0,0,153,153,16115,0,0,0,0,0,0,0,0,0
200304,3920,9999,,Lafayette  IN MSA ,76,76,11163,9,18,1726,0,0,0,1,16,550,76,76,11163,9,18,1726,0,0,0,1,16,550
200304,3960,9999,,Lake Charles  LA MSA ,130,130,10178,2,4,174,0,0,0,1,5,148,114,114,7817,0,0,0,0,0,0,0,0,0
200304,3980,9999,,Lakeland-Winter Haven  FL MSA ,504,504,64417,0,0,0,0,0,0,2,25,2308,485,485,62735,0,0,0,0,0,0,1,12,1519
200304,4000,9999,,Lancaster  PA MSA ,108,108,16669,0,0,0,1,4,220,5,79,4315,74,74,11458,0,0,0,1,4,220,4,66,3327
200304,4040,9999,,Lansing-East Lansing  MI MSA ,143,143,20775,0,0,0,0,0,0,21,155,8328,101,101,13902,0,0,0,0,0,0,20,150,8076
200304,4080,9999,,Laredo  TX MSA ,140,140,11424,0,0,0,1,4,155,1,19,822,0,0,0,0,0,0,0,0,0,0,0,0
200304,4100,9999,,Las Cruces  NM MSA ,86,86,14061,1,2,130,0,0,0,1,74,3000,81,81,13526,1,2,130,0,0,0,1,74,3000
200304,4120,9999,,Las Vegas  NV-AZ MSA ,2384,2384,306549,1,2,101,18,57,4317,49,410,23412,2300,2300,299037,0,0,0,18,57,4317,49,410,23412
200304,4150,9999,,Lawrence  KS MSA ,44,44,7662,25,50,4367,0,0,0,0,0,0,36,36,6139,25,50,4367,0,0,0,0,0,0
200304,4200,9999,,Lawton  OK MSA ,13,13,1562,0,0,0,0,0,0,1,5,25,0,0,0,0,0,0,0,0,0,0,0,0
